Site,Age (Ma),Genus,d18O,d13C
806,0.5450,CIB,4.18,-0.33
849,0.5480,CIB,4.39,-0.14
659,0.5490,CIB,4.68,
806,0.5500,CIB,4.29,-0.35
849,0.5520,CIB,4.28,-0.04
659,0.5540,CIB,4.82,
806,0.5540,CIB,4.06,-0.24
607,0.5549,CIB,4.25,0.17
849,0.5560,CIB,4.26,-0.05
659,0.5580,CIB,4.47,
806,0.5580,CIB,3.99,-0.25
849,0.5600,CIB,4.15,-0.11
806,0.5620,CIB,3.83,-0.12
849,0.5640,CIB,4.06,-0.08
659,0.5650,CIB,4.31,
806,0.5670,CIB,3.60,-0.09
607,0.5676,CIB,3.71,0.62
849,0.5680,CIB,3.92,-0.07
607,0.5707,CIB,3.73,0.53
659,0.5710,CIB,3.92,
806,0.5710,CIB,3.58,0.10
849,0.5720,CIB,3.75,-0.07
607,0.5735,CIB,3.84,0.53
659,0.5740,CIB,3.69,
806,0.5750,CIB,3.59,0.12
849,0.5760,CIB,3.50,0.06
806,0.5770,CIB,3.11,-0.01
806,0.5780,CIB,3.32,-0.18
607,0.5790,CIB,4.06,0.48
806,0.5800,CIB,3.80,-0.16
849,0.5800,CIB,3.58,0.07
607,0.5805,CIB,3.73,0.77
607,0.5821,CIB,3.66,0.94
806,0.5830,CIB,4.13,-0.25
849,0.5840,CIB,3.86,-0.02
607,0.5846,CIB,3.69,0.81
659,0.5850,CIB,4.50,
806,0.5870,CIB,3.98,-0.01
849,0.5880,CIB,4.06,-0.12
607,0.5883,CIB,3.60,0.84
607,0.5898,CIB,3.86,0.94
607,0.5915,CIB,3.68,0.97
806,0.5920,CIB,3.67,0.02
849,0.5920,CIB,4.04,-0.14
607,0.5930,CIB,3.59,1.04
607,0.5954,CIB,3.48,1.02
659,0.5960,CIB,3.69,
659,0.5960,CIB,3.80,
659,0.5960,CIB,3.80,
659,0.5960,CIB,3.90,
806,0.5960,CIB,3.60,-0.02
849,0.5960,CIB,3.90,-0.21
607,0.5967,CIB,3.52,1.14
849,0.6000,CIB,3.83,-0.18
607,0.6009,CIB,3.23,0.90
659,0.6010,CIB,4.45,
806,0.6010,CIB,3.85,-0.07
849,0.6040,CIB,3.98,-0.03
806,0.6050,CIB,3.49,0.09
659,0.6060,CIB,4.23,
849,0.6080,CIB,3.97,0.04
607,0.6092,CIB,3.66,0.85
806,0.6100,CIB,3.73,-0.09
607,0.6120,CIB,3.31,0.95
659,0.6120,CIB,4.35,
849,0.6120,CIB,3.69,0.04
806,0.6140,CIB,3.62,0.07
607,0.6154,CIB,3.45,1.13
849,0.6160,CIB,3.39,-0.06
607,0.6166,CIB,3.63,0.83
659,0.6170,CIB,2.85,
806,0.6190,CIB,3.25,-0.03
607,0.6192,CIB,3.99,0.19
659,0.6200,CIB,3.70,
849,0.6200,CIB,3.73,-0.23
607,0.6211,CIB,4.08,0.08
659,0.6230,CIB,3.95,
806,0.6230,CIB,4.42,-0.29
849,0.6240,CIB,4.41,-0.34
659,0.6250,CIB,4.04,
806,0.6270,CIB,4.83,-0.36
607,0.6280,CIB,5.01,-0.12
659,0.6280,CIB,4.36,
849,0.6280,CIB,4.79,-0.32
659,0.6300,CIB,4.78,
806,0.6310,CIB,4.28,-0.29
659,0.6320,CIB,5.06,
849,0.6320,CIB,5.08,-0.26
806,0.6350,CIB,4.78,-0.29
607,0.6360,CIB,4.98,0.80
849,0.6360,CIB,4.99,-0.25
806,0.6380,CIB,4.56,-0.57
607,0.6399,CIB,4.67,-0.04
849,0.6400,CIB,4.83,-0.22
607,0.6413,CIB,4.76,0.07
806,0.6420,CIB,4.36,-0.45
849,0.6440,CIB,4.78,-0.26
607,0.6443,CIB,4.65,-0.39
806,0.6460,CIB,4.16,-0.52
659,0.6480,CIB,4.52,
849,0.6480,CIB,4.79,-0.37
806,0.6490,CIB,4.26,-0.56
849,0.6520,CIB,4.72,-0.39
806,0.6530,CIB,4.29,-0.49
849,0.6560,CIB,4.59,-0.44
806,0.6570,CIB,4.25,-0.44
607,0.6572,CIB,4.60,0.13
607,0.6598,CIB,4.55,-0.09
806,0.6600,CIB,4.25,-0.64
849,0.6600,CIB,4.52,-0.56
607,0.6625,CIB,4.59,-0.17
806,0.6640,CIB,4.12,-0.39
849,0.6640,CIB,4.52,-0.64
607,0.6664,CIB,4.51,0.13
607,0.6678,CIB,4.44,-0.08
806,0.6680,CIB,4.03,-0.26
849,0.6680,CIB,4.45,-0.61
607,0.6708,CIB,4.25,0.28
806,0.6710,CIB,3.92,-0.19
849,0.6720,CIB,4.36,-0.52
607,0.6731,CIB,3.93,0.43
659,0.6740,CIB,4.91,
806,0.6750,CIB,4.07,-0.26
607,0.6757,CIB,3.84,0.68
849,0.6760,CIB,4.28,-0.40
659,0.6770,CIB,4.65,
607,0.6784,CIB,3.78,0.69
659,0.6800,CIB,4.48,
849,0.6800,CIB,4.18,-0.30
607,0.6810,CIB,3.72,1.05
659,0.6830,CIB,4.26,
607,0.6837,CIB,3.56,0.98
849,0.6840,CIB,3.98,-0.22
806,0.6850,CIB,3.36,-0.06
659,0.6860,CIB,4.13,
607,0.6864,CIB,3.47,1.19
849,0.6880,CIB,3.77,-0.08
607,0.6890,CIB,3.42,0.92
659,0.6900,CIB,3.48,
659,0.6920,CIB,3.62,
849,0.6920,CIB,3.68,0.04
659,0.6940,CIB,3.43,
806,0.6940,CIB,3.36,0.06
659,0.6960,CIB,3.50,
849,0.6960,CIB,3.75,0.00
607,0.6978,CIB,3.59,0.80
849,0.7000,CIB,3.93,-0.10
607,0.7010,CIB,3.64,1.17
659,0.7010,CIB,3.49,
659,0.7040,CIB,3.85,
849,0.7040,CIB,4.18,-0.18
806,0.7050,CIB,3.55,0.07
607,0.7078,CIB,3.93,-0.21
849,0.7080,CIB,4.30,-0.19
849,0.7120,CIB,4.34,-0.15
607,0.7130,CIB,4.38,-0.41
659,0.7130,CIB,4.19,
659,0.7150,CIB,4.84,
806,0.7150,CIB,3.86,-0.05
849,0.7160,CIB,4.35,-0.20
607,0.7165,CIB,4.53,-0.55
607,0.7200,CIB,4.57,-0.25
849,0.7200,CIB,4.37,-0.28
659,0.7230,CIB,4.33,
607,0.7235,CIB,4.44,-0.17
849,0.7240,CIB,4.30,-0.22
806,0.7250,CIB,3.83,-0.22
607,0.7269,CIB,4.42,-0.26
849,0.7280,CIB,4.20,-0.13
659,0.7300,CIB,3.95,
607,0.7304,CIB,4.05,0.27
849,0.7320,CIB,4.22,-0.19
607,0.7339,CIB,3.78,0.98
806,0.7340,CIB,3.99,-0.31
659,0.7360,CIB,3.90,
849,0.7360,CIB,4.23,-0.26
607,0.7390,CIB,4.02,0.82
849,0.7400,CIB,4.20,-0.33
607,0.7409,CIB,4.03,0.38
659,0.7430,CIB,4.25,
